modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
clickhouse-node,clickhouse.connection.http,HTTP 服务器的连接数。,connections,连接,状态类型,数字看板,1,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.connection.interserver,来自其他副本以获取部件的连接数。,connections,连接,状态类型,数字看板,2,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.connection.tcp,与 TCP 服务器的连接数（具有本地接口的客户端）。,connections,连接,状态类型,数字看板,3,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.merge.active,执行后台合并的次数。,merges,合并,状态类型,数字看板,4,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.merge.memory,为后台合并分配的内存总量。包含在 MemoryTrackingInBackgroundProcessingPool 中。请注意，当内存在后台处理池的上下文中分配并在其他上下文中释放时，此值可能包括误差，反之亦然。这是由于表索引的缓存而自然发生的，并不表示内存泄漏。,bytes,字节,状态类型,数字看板,5,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.query.count,在最后一个时间间隔内要解释和可能执行的查询数。不包括由于 AST 大小限制、配额限制或同时运行的查询数量限制而无法解析或被拒绝的查询。可能包括由 ClickHouse 本身发起的内部查询。不计算子查询。,queries,查询,状态类型,数字看板,6,观测云,monotonic_count,,,,,,,,,,
clickhouse-node,clickhouse.query.insert.delayed,由于 MergeTree 表中分区的大量活动数据部分而受到限制的 INSERT 查询数。,queries,查询,数值类型,折线图,7、8,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.query.select.count,在最后一个时间间隔内要解释和可能执行的 SELECT 查询的数量。不包括由于 AST 大小限制、配额限制或同时运行的查询数量限制而无法解析或被拒绝的查询。可能包括由 ClickHouse 本身发起的内部查询。不计算子查询。,queries,查询,数值类型,折线图,9、10,观测云,monotonic_count,,,,,,,,,,
clickhouse-node,clickhouse.table.insert.size.count,在最后一个时间间隔内插入到所有表的字节数（未压缩；对于存储在内存中的列）。,bytes,字节,数值类型,折线图,11、12,观测云,monotonic_count,,,,,,,,,,
clickhouse-node,clickhouse.table.replicated.part.send,发送到副本的数据部分的数量。,items,项,数值类型,折线图,13、14,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.table.replicated.readonly,由于 ZooKeeper 会话丢失后重新初始化或未配置 ZooKeeper 启动，当前处于只读状态的复制表的数量。,tables,表,数值类型,折线图,15、16,观测云,,,,,,,,,,,
clickhouse-node,clickhouse.zk.request,在fly中对 ZooKeeper 的请求数。,requests,请求,数值类型,折线图,17、18,观测云,,,,,,,,,,,
