modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
elasticsearch-node,elasticsearch.cluster_status,以数字表示,,,状态类型,数字看板,1,观测云,根据数字，显示状态,,,,,,,,,,
elasticsearch-node,elasticsearch.number_of_data_nodes,集群中的数据节点数。,节点,节点,状态类型,数字看板,2,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.number_of_nodes,集群中的节点总数。,节点,节点,状态类型,数字看板,3,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.fs.total.available_in_bytes,在这个文件存储区，此Java虚拟机可用的总字节数。,字节,字节,状态类型,数字看板,4,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.active_primary_shards,集群中活动主分片的​​数量。,分片,分片,状态类型,数字看板,5,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.pending_tasks_total,待处理任务的总数。,任务,任务,状态类型,数字看板,6,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.active_shards,集群中活动分片的数量。,分片,分片,状态类型,数字看板,7,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.initializing_shards,当前正在初始化的分片数。,分片,分片,状态类型,数字看板,8,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.relocating_shards,从一个节点重定位到另一个节点的分片数量。,分片,分片,状态类型,数字看板,9,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.unassigned_shards,未分配给节点的分片数。,分片,分片,状态类型,数字看板,10,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.process.cpu.percent,CPU 使用率（百分比）或 -1（如果在计算统计信息时未知）。,百分比,%,百分比类型,仪表盘,11,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.disk.percent,正在使用的磁盘空间的总百分比。计算为disk.used / disk.total。,百分比,%,百分比类型,仪表盘,12,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.transport.rx_size,集群通信中接收到的数据的总大小。,字节,字节,性能类型,折线面积图,13、14,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.transport.tx_size,集群通信中发送的数据的总大小。,字节,字节,性能类型,折线面积图,15、16,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.http.current_open,当前打开的 HTTP 连接数。,连接,连接,性能类型,折线面积图,17、18,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.get.missing.total,文档丢失的get请求的总数。,请求,请求,数值类型,折线图,19、20,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.search.fetch.current,当前正在运行的搜索获取数。,取,取,数值类型,折线图,21、22,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.search.fetch.time,搜索获取所花费的总时间。,秒,秒,数值类型,折线图,23、24,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.search.query.time,用于查询的总时间。,秒,秒,数值类型,折线图,25、26,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.search.query.total,查询总数。,查询,查询,数值类型,折线图,27、28,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.refresh.total,索引刷新的总数。,刷新,刷新,数值类型,折线图,29、30,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.refresh.total.time,索引刷新所花费的总时间。,秒,秒,数值类型,折线图,31、32,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.flush.total,自启动以来刷新到磁盘的索引总数。,刷新,刷新,数值类型,折线图,33、34,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.flush.total.time,将索引刷新到磁盘所花费的总时间。,秒,秒,数值类型,折线图,35、36,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.indexing.index.time,将文件编入索引所花费的总时间。,秒,秒,数值类型,折线图,37、38,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.indexing.index.total,索引到索引的文档总数。,文档,文档,数值类型,折线图,39、40,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.indexing.index.current,目前被编入索引的文件数量。,文档,文档,数值类型,折线图,41、42,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.merges.total.time,段合并所花费的总时间。,秒,秒,数值类型,折线图,43、44,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.merges.current.docs,当前正在合并的跨段的文档数。,文档,文档,数值类型,折线图,45、46,观测云,,,,,,,,,,,
elasticsearch-node,elasticsearch.pending_tasks_total,待处理任务的总数。,任务,任务,数值类型,折线图,47、48,观测云,,,,,,,,,,,
