modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
memcached-node,memcache.curr_connections,到此服务器的打开连接数,connections,连接,状态类型,数字看板,1,观测云,,,,,,,,,,,
memcached-node,memcache.limit_maxbytes,此服务器允许用于存储的字节数,bytes,字节,状态类型,数字看板,2,观测云,,,,,,,,,,,
memcached-node,memcache.threads,当前Memcached服务器进程使用的线程数,threads,线程,状态类型,数字看板,3,观测云,,,,,,,,,,,
memcached-node,memcache.uptime,服务器运行的秒数,seconds,秒,状态类型,数字看板,4,观测云,,,,,,,,,,,
memcached-node,memcache.bytes_read_rate,此服务器从网络读取的字节速率,bytes/second,字节/秒,性能类型,折线面积图,5、6,观测云,需计算,,,,,,,,,,
memcached-node,memcache.bytes_written_rate,此服务器写入网络的字节速率,bytes/second,字节/秒,性能类型,折线面积图,7、8,观测云,需计算,,,,,,,,,,
memcached-node,memcache.cas_hits_rate,对键进行比较、交换并发现存在的速率,hits/second,命中/秒,数值类型,折线图,9、10,观测云,需计算,,,,,,,,,,
memcached-node,memcache.cas_misses_rate,对密钥进行比较和交换，但不存在的速率,misses/second,丢失/秒,数值类型,折线图,11、12,观测云,需计算,,,,,,,,,,
memcached-node,memcache.cmd_flush_rate,flush_all命令速率,commands/second,命令/秒,性能类型,折线面积图,13、14,观测云,需计算,,,,,,,,,,
memcached-node,memcache.cmd_get_rate,get命令的速率,commands/second,命令/秒,性能类型,折线面积图,15、16,观测云,需计算,,,,,,,,,,
memcached-node,memcache.cmd_set_rate,设置命令的速率,commands/second,命令/秒,性能类型,折线面积图,17、18,观测云,需计算,,,,,,,,,,
memcached-node,memcache.curr_items,服务器存储的项目的当前数量,items,项目,性能类型,折线面积图,19、20,观测云,,,,,,,,,,,
memcached-node,memcache.delete_hits_rate,删除命令导致项目被删除的速率,hits/second,命中/秒,数值类型,折线图,21、22,观测云,需计算,,,,,,,,,,
memcached-node,memcache.get_hits_rate,请求和发现密钥的速率,hits/second,命中/秒,数值类型,折线图,23、24,观测云,需计算,,,,,,,,,,
