modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
mongdb-node,mongodb.connections.current,当前连接数。,connections,连接,性能类型,折线面积图,1、2,观测云,,,,,,,,,,,
mongdb-node,mongodb.mem.resident,服务器上 MongoDB 进程消耗的常驻内存。,mebibytes,兆字节,性能类型,折线面积图,3、4,观测云,,,,,,,,,,,
mongdb-node,mongodb.mem.virtual,服务器上 MongoDB 进程消耗的虚拟内存。,mebibytes,兆字节,性能类型,折线面积图,5、6,观测云,,,,,,,,,,,
mongdb-node,mongodb.metrics.document.deletedps,已删除的文件。,documents/second,文档数/秒,性能类型,折线面积图,7、8,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.metrics.document.insertedps,插入的文件。,documents/second,文档数/秒,性能类型,折线面积图,9、10,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.metrics.document.returnedps,退回的文件。,documents/second,文档数/秒,性能类型,折线面积图,11、12,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.metrics.document.updatedps,已更新的文件。,documents/second,文档数/秒,性能类型,折线面积图,13、14,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.metrics.queryexecutor.scannedps,在查询和查询计划评估期间每秒扫描的索引项数,objects,项/秒,性能类型,折线面积图,15、16,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.opcounters.deleteps,删除操作。,operations/second,操作/秒,性能类型,折线面积图,17、18,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.opcounters.insertps,插入操作。,operations/second,操作/秒,性能类型,折线面积图,19、20,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.opcounters.queryps,查询操作。,operations/second,操作/秒,性能类型,折线面积图,21、22,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.opcounters.updateps,更新操作。,operations/second,操作/秒,性能类型,折线面积图,23、24,观测云,需计算,,,,,,,,,,
mongdb-node,mongodb.wiredtiger.cache.pages_read_into_cache,读入缓存的页数,,,性能类型,折线面积图,25、26,观测云,,,,,,,,,,,
mongdb-node,mongodb.wiredtiger.cache.pages_written_from_cache,从缓存中写入的页数,,,性能类型,折线面积图,27、28,观测云,,,,,,,,,,,
mongdb-node,mongodb.wiredtiger.concurrenttransactions.read.available,剩余的可用读取ticket（并发事务）数,operations,操作,性能类型,折线面积图,29、30,观测云,,,,,,,,,,,
mongdb-node,mongodb.wiredtiger.concurrenttransactions.write.available,剩余的可用写入ticket（并发事务）数,operations,操作,性能类型,折线面积图,31、32,观测云,,,,,,,,,,,
