modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
mysql-node,mysql.performance.threads_connected,当前打开的连接数。,,,状态类型,数字看板,1,观测云,,,,,,,,,,,
mysql-node,mysql.performance.queries,每秒查询率。,queries/second,查询/秒,状态类型,数字看板,2,观测云,需计算,,,,,,,,,,
mysql-node,mysql.binlog.cache_use,使用二进制日志缓存的事务数。,transactions,事务,状态类型,数字看板,3,观测云,,,,,,,,,,,
mysql-node,mysql.net.aborted_connects,连接到 MySQL 服务器的失败尝试次数。,connections/second,连接/秒,状态类型,数字看板,4,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.slow_queries,慢查询的速率。,queries/second,查询/秒,状态类型,数字看板,5,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.select_full_join,因为不使用索引而执行表扫描的连接数。如果此值不为 0，则应仔细检查表的索引。,operations/second,操作/秒,状态类型,数字看板,6,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.row_lock_current_waits,通过InnoDB 表上的操作当前正在等待的行锁数。,,,状态类型,折线图,7、8,观测云,,,,,,,,,,,
mysql-node,mysql.net.aborted_clients,因为客户端没有正确关闭连接而被中止的连接数。,connections/second,连接/秒,性能类型,折线面积图,9、10,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.rows_deleted,从 InnoDB 表中删除的行数。,rows/second,行/秒,性能类型,折线面积图,11、12,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.rows_inserted,插入 InnoDB 表的行数。,rows/second,行/秒,性能类型,折线面积图,13、14,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.rows_read,从 InnoDB 表中读取的行数。,rows/second,行/秒,性能类型,折线面积图,15、16,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.rows_updated,InnoDB 表中更新的行数。,rows/second,行/秒,性能类型,折线面积图,17、18,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.buffer_pool_total,InnoDB 缓冲池中的总页数。,pages,页,性能类型,折线面积图,19、20,观测云,,,,,,,,,,,
mysql-node,mysql.innodb.buffer_pool_used,InnoDB 缓冲池中使用的页数。,pages,页,性能类型,折线面积图,21、22,观测云,,,,,,,,,,,
mysql-node,mysql.innodb.buffer_pool_total,创建的 InnoDB 页面数。,pages/second,页,性能类型,折线面积图,23、24,观测云,,,,,,,,,,,
mysql-node,mysql.innodb.pages_read,读取的 InnoDB 页面数。,pages/second,页,性能类型,折线面积图,25、26,观测云,,,,,,,,,,,
mysql-node,mysql.innodb.buffer_pool_pages_flushed,从 InnoDB 缓冲池刷新页面的请求数。,pages/second,页/秒,性能类型,折线面积图,27、28,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.buffer_pool_reads,InnoDB 无法满足从缓冲池中读取的逻辑读取次数，必须直接从磁盘读取。,reads/second,读/秒,性能类型,折线面积图,29、30,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.bytes_received,从所有客户端接收的字节数。,bytes/second,字节/秒,性能类型,折线面积图,31、32,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.bytes_sent,发送给所有客户端的字节数。,bytes/second,字节/秒,性能类型,折线面积图,33、34,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.opened_tables,已打开的表数。如果 Opened_tables 很大，则您的 table_open_cache 值可能太小。,tables/second,表/秒,性能类型,折线面积图,35、36,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.created_tmp_disk_tables,服务器在执行语句时每秒创建的内部磁盘临时表的速率。,tables/second,表/秒,性能类型,折线面积图,37、38,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.created_tmp_files,以秒为单位创建临时文件的速率。,files/second,文件/秒,性能类型,折线面积图,39、40,观测云,需计算,,,,,,,,,,
mysql-node,mysql.performance.created_tmp_tables,服务器在执行语句时每秒创建的内部临时表的速率。,tables/second,表/秒,性能类型,折线面积图,41、42,观测云,需计算,,,,,,,,,,
mysql-node,mysql.innodb.row_lock_current_waits,通过InnoDB 表上的操作当前正在等待的行锁数。,,,性能类型,折线面积图,43、44,观测云,,,,,,,,,,,
mysql-node,mysql.performance.table_locks_immediate,可以立即授予表锁请求的次数。,,,性能类型,折线面积图,45、46,观测云,,,,,,,,,,,
mysql-node,mysql.performance.table_locks_waited,无法立即授予表锁请求并需要等待的总次数。,,,性能类型,折线面积图,47、48,观测云,,,,,,,,,,,
