modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
postgresql-node,postgresql.max_connections,此数据库允许的最大客户端连接数。,connections,连接,状态类型,数字看板,1,https://grafana.com/grafana/dashboards/9628,,,,,,,,,,,
postgresql-node,postgresql.bgwriter.buffers_alloc,分配的缓冲区数。,,,状态类型,数字看板,2,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.buffers_backend,后端直接写入的缓冲区数。,buffers,缓冲区,状态类型,数字看板,3,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.buffers_backend_fsync,后端不得不执行自己的 fsync 调用而不是后台编写器的次数。,,,状态类型,数字看板,4,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.buffers_checkpoint,检查点期间写入的缓冲区数。,,,状态类型,数字看板,5,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.buffers_clean,后台写入器写入的缓冲区数。,,,状态类型,数字看板,6,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.checkpoints_requested,已执行的请求检查点的数量。,,,数值类型,折线图,7、8,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.checkpoints_timed,已执行的计划检查点数。,,,数值类型,折线图,9、10,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.maxwritten_clean,由于写入太多缓冲区，后台写入程序停止清理扫描的次数。,,,数值类型,折线图,11、12,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.sync_time,将文件同步到磁盘所花费的检查点处理时间总量。,milliseconds,毫秒,数值类型,折线图,13、14,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.bgwriter.write_time,将文件写入磁盘所花费的检查点处理时间总量。,milliseconds,毫秒,数值类型,折线图,15、16,,monotonic_count,,,,,,,,,,
postgresql-node,postgresql.percent_usage_connections,该数据库的连接数占允许的最大连接数的一部分。,fractions,片段,数值类型,折线图,17、18,,,,,,,,,,,,
