modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
rabbitmq-node,rabbitmq.overview.object_totals.connections,连接总数。,连接,连接,状态类型,数字看板,1,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.overview.object_totals.channels,通道总数。,项,项,状态类型,数字看板,2,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.overview.object_totals.queues,队列总数。,项,项,状态类型,数字看板,3,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.overview.object_totals.consumers,消费者总数。,项,项,状态类型,数字看板,4,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.messages_ready,准备发送给客户端的消息数。,消息,消息,状态类型,数字看板,5,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.messages_unacknowledged,已发送到客户端但尚未确认的消息数。,消息,消息,状态类型,数字看板,6,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.disk_free,当前可用磁盘空间。,字节,字节,状态类型,数字看板,7,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.fd_used,使用的文件描述符。,,,状态类型,数字看板,8,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.mem_used,使用的内存（以字节为单位）。,字节,字节,状态类型,数字看板,9,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.sockets_used,用作套接字的文件描述符数。,,,状态类型,数字看板,10,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.disk_alarm,节点是否有磁盘报警。,,,状态类型,数字看板,11,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.mem_alarm,主机是否有内存告警。,,,状态类型,数字看板,12,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.running,节点是否运行。,,,状态类型,数字看板,13,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.node.run_queue,等待运行的平均 Erlang 进程数。,进程,进程,状态类型,数字看板,14,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.consumer_utilisation,队列的消费者可以接收新消息的时间比率。,片段,片段,状态类型,数字看板,15,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.messages.ack.count,传递给客户端并确认的队列中的消息数。,消息,消息,状态类型,数字看板,16,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.messages.deliver_get.count,队列中以确认模式交付给消费者、以不确认模式交付给消费者、以确认模式响应basic.get、以不确认模式响应basic.get的消息之和。,消息,消息,状态类型,数字看板,17,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.messages.publish.count,队列中已发布的消息数。,消息,消息,状态类型,数字看板,18,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.messages.redeliver.count,Deliver_get 中设置了重新传递标志的队列中的消息子集计数。,消息,消息,状态类型,数字看板,19,观测云,,,,,,,,,,,
rabbitmq-node,rabbitmq.queue.messages.rate,每秒队列中的总消息数。,消息/秒,消息/秒,数值类型,折线图,20、21,观测云,,,,,,,,,,,
