modeId,metric_key（指标标识）,metric_desc_cn（指标描述）,"单位
",指标显示单位,指标类型,对应组件,对应模板位置,参考,备注,,,,,,,,,,
redis-node,redis.net.clients,已连接客户端的数量（不包括slaves）。,connections,连接,状态类型,数字看板,1,观测云,,,,,,,,,,,
redis-node,redis.net.slaves,连接的slaves的数量。,connections,连接,状态类型,数字看板,2,观测云,,,,,,,,,,,
redis-node,redis.net.rejected,被拒绝的连接数。,connections,连接,性能类型,折线面积图,3、4,观测云,,,,,,,,,,,
redis-node,redis.clients.blocked,等待阻塞调用的连接数。,connections,连接,性能类型,折线面积图,5、6,观测云,,,,,,,,,,,
redis-node,redis.cpu.sys,Redis 服务器消耗的系统 CPU。,,,性能类型,折线面积图,7、8,观测云,需计算,,,,,,,,,,
redis-node,redis.keys.evicted,由于最大内存限制而被evicted的总键数。,keys,键,性能类型,折线面积图,9、10,观测云,,,,,,,,,,,
redis-node,redis.mem.fragmentation_ratio,used_memory_rss 和 used_memory 之间的比率。,fractions,片段,性能类型,折线面积图,11、12,观测云,,,,,,,,,,,
redis-node,redis.mem.used,Redis 分配的内存量。,bytes,字节,性能类型,折线面积图,13、14,观测云,,,,,,,,,,,
redis-node,redis.rdb.bgsave,如果 bgsave 正在进行，则为 1，否则为 0。,,,状态类型,数字看板,15,观测云,,,,,,,,,,,
redis-node,redis.rdb.last_bgsave_time,最后一次 bg_save 操作的持续时间。,seconds,秒,状态类型,数字看板,16,观测云,,,,,,,,,,,
redis-node,redis.rdb.changes_since_last,自上次后台保存以来的更改次数。,,,性能类型,折线面积图,17、18,观测云,,,,,,,,,,,
redis-node,redis.stats.keyspace_hits,主数据库中的成功查找率。,keys/second,键/秒,性能类型,折线面积图,19、20,观测云,需计算,,,,,,,,,,
redis-node,redis.stats.keyspace_misses,主数据库中的漏查率。,keys/second,键/秒,性能类型,折线面积图,21、22,观测云,需计算,,,,,,,,,,
